Currency Portfolio,SD_A,SD_B,Correlation,Weight_A,Weight_B,SD_Portfolio
"AUDCHF, NZDCHF",0.004929714412086799,0.0053085813137106206,-0.16727036,0.5311618566705236,0.4678381455529613,0.003293768229649466
"AUDCHF, NZDJPY",0.004929714412086799,0.006011406094778575,0.619935186,0.7490266557532406,0.24997334424677797,0.0047720200196458545
"AUDCHF, NZDUSD",0.004929714412086799,0.00631840931500294,0.556755373,0.7635956314519293,0.2354043686045995,0.004755714877290081
"AUDCHF, USDCAD",0.004929714412086799,0.00428429729945368,-0.387357633,0.4491711209190642,0.5498288802277005,0.0025320169768490606
"AUDCHF, USDCHF",0.004929714412086799,0.00410165576752468,0.146579605,0.39527266778914716,0.603727332470276,0.0033680117073727187
"AUDCHF, USDJPY",0.004929714412086799,0.0032627106971484447,0.001441409,0.3040728234547378,0.6949271842510254,0.0027198593704660635
"AUDJPY, AUDNZD",0.005240560682396569,0.0026594863002857142,-0.127678752,0.23214900819905732,0.7668509918411446,0.002237361478821545
"AUDJPY, AUDUSD",0.005240560682396569,0.005694980352076298,0.759496939,0.6700314988180409,0.32896850200067385,0.005082512402545218
"AUDJPY, CADCHF",0.005240560682396569,0.004572709310072677,0.512652109,0.3619840572658557,0.6370159430500302,0.004212968138542812
"AUDJPY, CADJPY",0.005240560682396569,0.005006462273863392,0.77330583,0.3957385817115004,0.603261420526038,0.0048072857253964275
"AUDJPY, CHFJPY",0.005240560682396569,0.003540047728632148,0.604407364,0.1000003267792185,0.8989997396064949,0.003524065081499792
"AUDJPY, GBPAUD",0.005240560682396569,0.0037629093399284635,-0.449538905,0.38753094722759857,0.611469052783885,0.002284154803781698
"AUDJPY, GBPCAD",0.005240560682396569,0.0036677072192094467,-0.324960876,0.3684505049651379,0.6305494952511945,0.0024848626447913605
"AUDJPY, GBPCHF",0.005240560682396569,0.003926983303523448,0.353542928,0.2872380119064452,0.711761988737651,0.003612940856076572
"AUDJPY, GBPJPY",0.005240560682396569,0.004258289372084055,0.753149127,0.11056504670886991,0.8884349533297249,0.004236786367594255
"AUDJPY, GBPNZD",0.005240560682396569,0.004486613738405376,-0.393162062,0.4440686938513795,0.5549313061745103,0.0026568013339375576
"AUDJPY, GBPUSD",0.005240560682396569,0.004008065275354046,0.594254859,0.19282796845661027,0.8061720317683259,0.0039169478206950515
"AUDJPY, NZDCAD",0.005240560682396569,0.004623473598561431,-0.050691275,0.4402290815390236,0.5587709193291945,0.003375276073945161
"AUDJPY, NZDCHF",0.005240560682396569,0.0053085813137106206,-0.098655557,0.505370266034064,0.49362973396648474,0.0035371832702233907
"AUDJPY, NZDJPY",0.005240560682396569,0.006011406094778575,0.88746361,0.8990000347874837,0.10000000797297925,0.0052520671947887225
"AUDJPY, NZDUSD",0.005240560682396569,0.00631840931500294,0.702499007,0.7981307288814516,0.20086927304715485,0.005154011884971831
"AUDJPY, USDCAD",0.005240560682396569,0.00428429729945368,-0.764823945,0.44275958436084023,0.5562404156394858,0.0016139289583424225
"AUDJPY, USDCHF",0.005240560682396569,0.00410165576752468,-0.285451614,0.40553758444901783,0.5934624157700502,0.002736508403020389
"AUDJPY, USDJPY",0.005240560682396569,0.0032627106971484447,0.249591464,0.21542740913358083,0.7835725910688133,0.003041608205269812
"AUDNZD, AUDUSD",0.0026594863002857142,0.005694980352076298,-0.085327587,0.8004255876928891,0.19857441495227346,0.0023236854930849633
"AUDNZD, CADCHF",0.0026594863002857142,0.004572709310072677,-0.01950126,0.7423850495678835,0.2566149504412955,0.0022769884777226177
"AUDNZD, CADJPY",0.0026594863002857142,0.005006462273863392,-0.064477115,0.7649559092184566,0.23404409078168192,0.0022812942802711033
"AUDNZD, CHFJPY",0.0026594863002857142,0.003540047728632148,-0.107282091,0.6256013718685438,0.37339862831525816,0.002010860425926005
"AUDNZD, GBPAUD",0.0026594863002857142,0.0037629093399284635,0.110510601,0.6856361160638528,0.31336388427213213,0.0022782832654301955
"AUDNZD, GBPCAD",0.0026594863002857142,0.0036677072192094467,0.024801741,0.6584970648566439,0.34050293515308183,0.002176023137442126
"AUDNZD, GBPCHF",0.0026594863002857142,0.003926983303523448,-0.018488117,0.6817486759881957,0.3172513250377974,0.002180809921427777
"AUDNZD, GBPJPY",0.0026594863002857142,0.004258289372084055,-0.07205797,0.7054343358882119,0.2935656647916594,0.0021781761528378413
"AUDNZD, GBPNZD",0.0026594863002857142,0.004486613738405376,0.63139157,0.8990000001396855,0.10000000001329379,0.00269669729315334
"AUDNZD, GBPUSD",0.0026594863002857142,0.004008065275354046,-0.040089198,0.6866754045517769,0.31232459560629144,0.002172273792924789
"AUDNZD, NZDCAD",0.0026594863002857142,0.004623473598561431,0.035055469,0.7584883931302986,0.24051161091499174,0.0023372766520911117
"AUDNZD, NZDCHF",0.0026594863002857142,0.0053085813137106206,0.157932473,0.8418833952236988,0.1571166047764026,0.00250969119154503
"AUDNZD, NZDJPY",0.0026594863002857142,0.006011406094778575,-0.542428501,0.7392524827509087,0.2597475181723788,0.001724252182560469
"AUDNZD, NZDUSD",0.0026594863002857142,0.00631840931500294,-0.527644493,0.7529994972283038,0.2460005036786208,0.0017724366670261015
"AUDNZD, USDCAD",0.0026594863002857142,0.00428429729945368,0.058044516,0.7332903511142829,0.26570964889390847,0.0023144792702864203
"AUDNZD, USDCHF",0.0026594863002857142,0.00410165576752468,0.017670263,0.7066665970721178,0.292333402968334,0.0022470856360762583
"AUDNZD, USDJPY",0.0026594863002857142,0.0032627106971484447,-0.066584864,0.5940261456118451,0.40497385439388306,0.001990896328555751
"AUDUSD, CADCHF",0.005694980352076298,0.004572709310072677,0.097464429,0.38025435644325095,0.6187456435655267,0.003726807803784285
"AUDUSD, CADJPY",0.005694980352076298,0.005006462273863392,0.332080545,0.3984466323017559,0.6005533739382334,0.004326685469582274
"AUDUSD, CHFJPY",0.005694980352076298,0.003540047728632148,0.382235403,0.16314415950745248,0.8358558405152755,0.003423507848933291
"AUDUSD, GBPAUD",0.005694980352076298,0.0037629093399284635,-0.609896758,0.37397021182503964,0.6250297883565703,0.001989331846900573
"AUDUSD, GBPCAD",0.005694980352076298,0.0036677072192094467,-0.053467373,0.30244806170689825,0.6965519384516498,0.003003825998450448
